id,task_id,user_id,action,field_changed,old_value,new_value,comment,created_at
"b08a0eba-31b4-4af4-8ac4-2163de5d1e7a","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: first","2025-08-24 01:54:45.570071+05:30"
"268fa723-82a3-48c1-b099-fd5f34204520","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_progress",,"2025-08-24 01:55:10.640085+05:30"
"a47b7ce4-9435-407b-803c-09628bb1c003","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_progress","in_review",,"2025-08-24 01:56:06.584662+05:30"
"3e227075-b2b0-47a4-b253-8adac14eb8a0","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_review","in_progress",,"2025-08-24 02:02:36.815961+05:30"
"b833bd47-8fa6-47c8-b6fe-78a8bb6f2411","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_progress","todo",,"2025-08-24 02:02:39.848013+05:30"
"f88d6c52-6fe8-43fc-a63d-df0c9ee043ac","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_progress",,"2025-08-24 02:03:01.39246+05:30"
"0979951c-4408-4ee7-8c38-e1f5cf106bd7","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_progress","done",,"2025-08-24 02:03:10.659166+05:30"
"458be13d-9e77-469a-a567-9e456686bee8","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","done","in_review",,"2025-08-24 02:21:49.405798+05:30"
"e9fc48a7-af00-4de5-839b-33e136a7198a","199bf0e2-7d8e-4968-b769-cf6e8a21619b","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_review","done",,"2025-08-24 02:21:50.195237+05:30"
"a5eb7265-2130-439e-ac2c-6aeefd402f4d","96808225-b8ac-4a08-b995-1fa2523b9dc6","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: task 1","2025-08-24 09:35:18.086823+05:30"
"3979b5f6-26fb-4d23-bec5-bb9a700b3e1a","96808225-b8ac-4a08-b995-1fa2523b9dc6","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_progress",,"2025-08-24 09:35:27.403987+05:30"
"b5c33434-f111-409f-a743-ed7e7b464c0f","96808225-b8ac-4a08-b995-1fa2523b9dc6","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_progress","in_review",,"2025-08-24 09:35:28.614947+05:30"
"e0b92ba4-d31c-412e-a966-550f29d73b13","96808225-b8ac-4a08-b995-1fa2523b9dc6","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_review","done",,"2025-08-24 09:35:30.388445+05:30"
"11a69a26-d4b6-4e63-a587-aa0d8d536013","96808225-b8ac-4a08-b995-1fa2523b9dc6","550e8400-e29b-41d4-a716-446655440020","status_changed","status","done","in_progress",,"2025-08-24 09:35:31.806809+05:30"
"fff321ee-7cef-4710-ac5f-8c804afda82e","96808225-b8ac-4a08-b995-1fa2523b9dc6","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_progress","todo",,"2025-08-24 09:36:23.351463+05:30"
"d8879512-4b10-426d-96ee-19b29894fe75","a874db74-a981-49de-8066-7c13280d5dda","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: task 2","2025-08-24 09:36:46.939658+05:30"
"20d50643-04a8-48e0-b9c0-52eca53cce17","180990cd-b534-4216-953a-153fa52e3030","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: task3","2025-08-24 09:37:30.634328+05:30"
"0ab6bc74-455b-47ec-8b49-e6f830dfb569","e89dbb9b-c9b1-4da4-b012-731344cb7ff3","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: dafkj","2025-08-24 09:37:47.213045+05:30"
"50872538-17c8-4fad-ac23-9cd5908146de","80811692-3145-4557-8d74-a151d2d0e7a5","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: htaa","2025-08-24 09:38:04.626055+05:30"
"7c49850d-3ae9-4b23-93e3-dcee164d497c","6df975a8-f72b-42d7-b732-5d6de3a9b89c","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: ifsgd","2025-08-24 09:38:21.690136+05:30"
"f07dcbf4-9b9a-406c-8be1-94e1ac9b281a","e89dbb9b-c9b1-4da4-b012-731344cb7ff3","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_progress",,"2025-08-24 09:38:30.950838+05:30"
"32a4458a-4805-400c-809c-0bec01bbec4f","6df975a8-f72b-42d7-b732-5d6de3a9b89c","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_review",,"2025-08-24 09:38:35.534388+05:30"
"e7e8e76c-886b-426a-95db-7c02604fb5d3","6df975a8-f72b-42d7-b732-5d6de3a9b89c","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_review","done",,"2025-08-24 09:39:10.971323+05:30"
"110beec1-1db0-4a3c-ab92-4b4fdc2eb8f7","e89dbb9b-c9b1-4da4-b012-731344cb7ff3","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_progress","todo",,"2025-08-24 10:03:29.009743+05:30"
"6bae534a-3378-484a-b5a2-3bb24e8a695b","6df975a8-f72b-42d7-b732-5d6de3a9b89c","550e8400-e29b-41d4-a716-446655440020","status_changed","status","done","todo",,"2025-08-24 10:03:33.603027+05:30"
"62f40757-0db2-4424-9f5d-4249551f0bac","80811692-3145-4557-8d74-a151d2d0e7a5","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_progress",,"2025-08-24 10:03:36.961284+05:30"
"db1012fc-fdf0-4e85-a618-2309781ba26f","180990cd-b534-4216-953a-153fa52e3030","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","done",,"2025-08-24 10:03:38.366157+05:30"
"6eba30e7-1ff6-4443-bbff-2b67bc57ff3e","80811692-3145-4557-8d74-a151d2d0e7a5","550e8400-e29b-41d4-a716-446655440020","status_changed","status","in_progress","todo",,"2025-08-24 10:03:41.646325+05:30"
"896860b1-7ef7-4256-a13d-7019ff05cd43","e89dbb9b-c9b1-4da4-b012-731344cb7ff3","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_progress",,"2025-08-24 10:03:45.204736+05:30"
"c44752c3-869c-46bc-88e0-d3c9979b4dc7","89390ffc-7681-4380-9adf-2396d41c3f38","550e8400-e29b-41d4-a716-446655440020","created",,,,"Created task: 0","2025-08-24 10:06:32.320279+05:30"
"176450ab-a907-4437-8a87-8e581299bb0e","6df975a8-f72b-42d7-b732-5d6de3a9b89c","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_progress",,"2025-08-24 10:06:37.149694+05:30"
"94394abf-e587-4824-99b2-5de4a4e4db56","a874db74-a981-49de-8066-7c13280d5dda","550e8400-e29b-41d4-a716-446655440020","status_changed","status","todo","in_review",,"2025-08-24 10:06:38.149933+05:30"
