id,user_id,action,resource_type,resource_id,old_values,new_values,metadata,ip_address,user_agent,created_at
"476befb2-f0a7-4c75-b728-1643929af315","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:08:05.341Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 12:38:05.342015+05:30"
"cb88a7b9-fab0-4360-9f40-b3d89b172624","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:35:01.316Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:05:01.317235+05:30"
"01d34500-b3e5-4d6b-8ccb-a59701903104","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:49:38.946Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:19:38.947284+05:30"
"a38f4e1d-e3e9-40d9-8587-b9104a0e1ea5","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:51:06.496Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:21:06.497079+05:30"
"a3eb5775-86a8-43b0-a3cd-c60523879dbd","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:51:30.046Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:21:30.047012+05:30"
"e91cbe1c-cca8-4ff7-a4e6-3205c6dd7e26","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:51:50.902Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:21:50.902149+05:30"
"43c9937b-eaf5-4154-8ddf-86564a46c3b7","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:52:06.192Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:22:06.192214+05:30"
"7b49a346-84da-4d85-ab2b-1bd6744bc2cd","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:52:36.770Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:22:36.770332+05:30"
"e63c2f40-7d50-4157-9259-96edbb058790","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:53:53.065Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:23:53.065836+05:30"
"2b849e34-ec5f-4c93-9f11-829af999c463","550e8400-e29b-41d4-a716-446655440020","login","auth",,,,"{""reason"": ""Invalid session"", ""endpoint"": ""/api/auth/check"", ""sessionId"": ""bb191d33-6c2b-4c29-80c7-0e61f13f77d1"", ""timestamp"": ""2025-08-21T07:56:37.278Z""}","::1","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","2025-08-21 13:26:37.27923+05:30"
