               user_id                |  club_id  |      role      | academic_year | is_leader | is_current_term | hierarchy 
--------------------------------------+-----------+----------------+---------------+-----------+-----------------+-----------
 bca6518e-d6ec-4489-9422-1898f5086ba4 | achievers | coordinator    | 2025-2026     | t         | f               |         1
 550e8400-e29b-41d4-a716-446655440030 | achievers | coordinator    | 2024-2025     | t         | t               |         1
 8eb864a5-a99b-4d3b-94f9-4619ed66c5e3 | achievers | co_coordinator | 2024-2025     | t         | t               |         2
 550e8400-e29b-41d4-a716-446655440031 | achievers | co_coordinator | 2024-2025     | t         | t               |         2
 550e8400-e29b-41d4-a716-446655440032 | achievers | secretary      | 2024-2025     | f         | t               |         3
 2a170eb4-eef2-4936-bd8f-8ef6fed7499d | achievers | core_member    | 2024-2025     | f         | t               |         5
 2cb44d7b-1b38-41ee-8327-71d0b012aaa8 | achievers | member         | 2024-2025     | f         | t               |         5
 b6ea4ca7-00f7-41ef-8ce3-b7d6c67e1b92 | achievers | active_member  | 2024-2025     | f         | t               |         5
 06f6aac9-cfe1-411b-8dd9-5cb7b53623b4 | achievers | member         | 2024-2025     | f         | t               |         5
 d542af11-6ee7-4957-b7fa-159aa92d4032 | achievers | core_member    | 2024-2025     | f         | t               |         5
 3c0310f4-0e98-4a8b-823e-32a128b1188e | achievers | active_member  | 2024-2025     | f         | t               |         5
 2aed1d75-95a1-49de-abd7-3f3e972b96b9 | achievers | core_member    | 2024-2025     | f         | t               |         5
 b9fefb31-2996-4e4b-854e-6173dffdcce3 | achievers | active_member  | 2024-2025     | f         | t               |         5
 fcea31b5-b267-45e7-a65b-760c59071eb5 | achievers | active_member  | 2024-2025     | f         | t               |         5
 96c936f6-ff6e-4c92-808f-fbf95767b527 | achievers | core_member    | 2024-2025     | f         | t               |         5
 3f925245-2286-4eae-bb5a-c3bf53c556df | achievers | core_member    | 2024-2025     | f         | t               |         5
 3671347e-912b-49bf-897a-bc97e7f31916 | achievers | core_member    | 2024-2025     | f         | t               |         5
 2300b5d3-beda-4fee-912c-3b6674025dc2 | achievers | member         | 2024-2025     | f         | t               |         5
 066bd297-28e7-4157-b4e2-25e64bd3834c | achievers | member         | 2024-2025     | f         | t               |         5
 dbe6f91c-7526-44ea-bdfb-d38d083530f6 | achievers | member         | 2024-2025     | f         | t               |         5
 0a4a5eb1-afa7-4285-9fef-3b57b937103d | achievers | active_member  | 2024-2025     | f         | t               |         5
 e711111e-b1b6-4a2d-8b25-a028853c901a | achievers | active_member  | 2024-2025     | f         | t               |         5
 4921379b-1277-497c-8659-47e4156a5774 | achievers | active_member  | 2024-2025     | f         | t               |         5
 4636a0ae-4ae1-4e50-9dc4-20f1f6304096 | achievers | member         | 2024-2025     | f         | t               |         5
 4c71d5d7-a700-4efe-9704-5d907e44a49f | achievers | active_member  | 2024-2025     | f         | t               |         5
 07190594-c37f-4ac0-bcfa-cb68ed30d242 | achievers | active_member  | 2024-2025     | f         | t               |         5
 7b927dfb-7e4a-40b3-b9d6-f0690d5939b3 | achievers | member         | 2024-2025     | f         | t               |         5
 2446753e-56f6-4051-9ac5-43cc1bc88e81 | achievers | member         | 2024-2025     | f         | t               |         5
 14c2825e-09bf-4451-a465-c95ae4284a6a | achievers | member         | 2024-2025     | f         | t               |         5
 cf73c4fb-4ae1-4c9c-8e0c-88fc291b0d0d | achievers | active_member  | 2024-2025     | f         | t               |         5
 15671ce3-a7fc-42a4-95a9-12ea19f90072 | achievers | member         | 2024-2025     | f         | t               |         5
 06036f36-593e-4850-b36c-cc1d2354b78d | achievers | active_member  | 2024-2025     | f         | t               |         5
 b18312b8-7028-4741-8ba7-58f913e6900b | achievers | active_member  | 2024-2025     | f         | t               |         5
 baa5e01a-03f2-4f5b-bb02-9ac1bee12a89 | achievers | core_member    | 2024-2025     | f         | t               |         5
 8aaa38fc-21a0-4fd4-a756-492dcb0cf9fe | achievers | active_member  | 2024-2025     | f         | t               |         5
 4155a5f3-f02e-4dbf-aa53-a3668bac3951 | achievers | member         | 2024-2025     | f         | t               |         5
 c4b413ee-4abe-452a-bd1b-61216e1f507e | achievers | active_member  | 2024-2025     | f         | t               |         5
 1296b68e-ee4e-495a-8813-4277e7c0b4bb | achievers | active_member  | 2024-2025     | f         | t               |         5
 d07c1a56-6d7c-40ea-8534-fec7565d31e7 | achievers | active_member  | 2024-2025     | f         | t               |         5
 588e7c5d-3fdf-4c3f-b498-9455c6c9956d | achievers | member         | 2024-2025     | f         | t               |         5
 55254256-01ce-4d77-bf11-369466c4a024 | achievers | member         | 2024-2025     | f         | t               |         5
 333586c1-3015-4219-ad23-4e4cf2264e7f | achievers | core_member    | 2024-2025     | f         | t               |         5
 fdd26cf3-97fc-4cd4-872f-15c51dd89ec6 | achievers | core_member    | 2024-2025     | f         | t               |         5
 a0c14c4b-530b-42df-b589-cc04f1a1a468 | achievers | active_member  | 2024-2025     | f         | t               |         5
 abb6dab7-468b-4224-9c07-0c0fb0e7ec68 | achievers | member         | 2024-2025     | f         | t               |         5
 a5b745da-eeb7-4ded-95fa-5036e03d3125 | achievers | active_member  | 2024-2025     | f         | t               |         5
 93cb9411-e541-420f-954b-2e35740fb479 | achievers | active_member  | 2024-2025     | f         | t               |         5
 e83382d5-f7c2-4900-bd22-44603b4294f1 | achievers | core_member    | 2024-2025     | f         | t               |         5
 1196a455-a390-4cae-821b-5a0cdb299bb2 | achievers | core_member    | 2024-2025     | f         | t               |         5
 efe3b959-e009-44a4-88f9-7be30194cdb0 | achievers | active_member  | 2024-2025     | f         | t               |         5
 d4b64602-ff9c-4009-82e6-deba3a87de52 | achievers | core_member    | 2024-2025     | f         | t               |         5
 52c57813-3d17-43db-ad28-11881129965b | achievers | active_member  | 2024-2025     | f         | t               |         5
 17a7d81f-d156-4701-86c9-b8938cd12568 | achievers | active_member  | 2024-2025     | f         | t               |         5
 ba93ceb7-b456-4d81-a2a4-75391ecee51a | achievers | active_member  | 2024-2025     | f         | t               |         5
 1e5f88d6-ebd4-4ec2-ba4e-6261b1626bfe | achievers | member         | 2024-2025     | f         | t               |         5
 cf5934f8-e041-4dbd-bda1-c7a4532ee468 | achievers | core_member    | 2024-2025     | f         | t               |         5
 c3a2589e-dff1-40c3-a59e-ef29cf4c42df | achievers | core_member    | 2024-2025     | f         | t               |         5
 883831a7-c437-4fe4-9774-88db0103a5d1 | achievers | member         | 2024-2025     | f         | t               |         5
 6e2de18f-0fe9-469b-a8a7-8643812030c1 | achievers | core_member    | 2024-2025     | f         | t               |         5
 7da89033-5a11-4148-b1dc-16435f17b069 | achievers | core_member    | 2024-2025     | f         | t               |         5
 d7274c11-d1d6-4df3-8468-188bd2e5dcbc | achievers | member         | 2024-2025     | f         | t               |         5
 f64d0be6-ffad-49ac-a8b2-b50d43f42dd3 | achievers | core_member    | 2024-2025     | f         | t               |         5
 aa548ac7-913a-47db-91bf-a3d3046754ca | achievers | active_member  | 2024-2025     | f         | t               |         5
 6435a57e-e910-4104-a163-b49943024b77 | achievers | member         | 2024-2025     | f         | t               |         5
 f34ba402-f733-4977-832d-c3cdc54284ae | achievers | core_member    | 2024-2025     | f         | t               |         5
 3d5ad263-47a6-46b8-a886-a7a9c3d2ad1c | achievers | core_member    | 2024-2025     | f         | t               |         5
 8fcc0b11-a2d9-4463-a83c-c1a1370325a6 | achievers | mentor         | 2024-2025     | t         | t               |         5
 1de62976-1c2e-4a1c-96bd-bb8ff8a9306a | achievers | core_member    | 2024-2025     | f         | t               |         5
 ea39f055-7cf4-4837-b82f-8a36d6c8f7a6 | achievers | active_member  | 2024-2025     | f         | t               |         5
 c5f7f24a-2ed9-41d6-9186-ae92590ad41d | achievers | active_member  | 2024-2025     | f         | t               |         5
 db079ff1-55e6-4f53-bd93-f942beccb239 | achievers | active_member  | 2024-2025     | f         | t               |         5
 a73c5134-712b-46c8-bd70-c6867092de3e | achievers | core_member    | 2024-2025     | f         | t               |         5
 f7de5f20-0c01-4718-8f43-e0a7458b90f1 | achievers | core_member    | 2024-2025     | f         | t               |         5
 fdaf03b4-1497-425a-9146-3a76f1029ed4 | achievers | active_member  | 2024-2025     | f         | t               |         5
 42926f16-66a7-4773-bc41-e7f45a8ac247 | achievers | active_member  | 2024-2025     | f         | t               |         5
 dab3aee6-6af4-4873-af15-37cadc6cf86d | achievers | core_member    | 2024-2025     | f         | t               |         5
 f985359b-f604-40a2-ae66-11e673ae8cc5 | achievers | core_member    | 2024-2025     | f         | t               |         5
 3dfb448a-f5c3-4002-bb33-1d104fd20ee3 | achievers | active_member  | 2024-2025     | f         | t               |         5
 550e8400-e29b-41d4-a716-446655440301 | achievers | member         | 2024-2025     | f         | t               |          
 550e8400-e29b-41d4-a716-446655440300 | achievers | member         | 2024-2025     | f         | t               |          
 550e8400-e29b-41d4-a716-446655440033 | achievers | member         | 2024-2025     | f         | t               |          
 550e8400-e29b-41d4-a716-446655440302 | achievers | member         | 2024-2025     | f         | t               |          
 e75ebfdc-b1e8-440c-a987-c77306ab8348 | artovert  | coordinator    | 2024-2025     | t         | t               |         1
 b9f1d273-57c1-4ba4-9411-5495254ff797 | artovert  | coordinator    | 2025-2026     | t         | f               |         1
 19124f5e-a896-4728-bb75-701f616c7716 | artovert  | co_coordinator | 2025-2026     | t         | f               |         2
 c088cdf3-11ff-408d-b95a-1f50bb794c27 | artovert  | co_coordinator | 2024-2025     | t         | t               |         2
 febf3dd5-655c-4e18-86a9-2abbf245cb16 | artovert  | secretary      | 2024-2025     | t         | t               |         3
 70672185-25b9-41b5-bae0-e74ea1a26db9 | artovert  | secretary      | 2025-2026     | t         | f               |         3
 4f98318c-d90a-45cc-88b4-2e4c29404669 | artovert  | member         | 2024-2025     | f         | t               |         5
 234f4ab1-3cc5-45ae-b57b-f508cae2230e | artovert  | member         | 2024-2025     | f         | t               |         5
 dbb737b9-c4a1-4f95-b4cf-c0110d261a2b | artovert  | member         | 2024-2025     | f         | t               |         5
 6b552eb4-a4eb-41dd-8db1-0d80843b68ef | artovert  | member         | 2024-2025     | f         | t               |         5
 6c504779-5a21-41bc-8130-7b5357830cb4 | artovert  | core_member    | 2024-2025     | f         | t               |         5
 e3e040e6-2b37-467b-aa92-4c4987ec74f7 | artovert  | member         | 2024-2025     | f         | t               |         5
 1eda73be-2c3d-4a14-8e90-cd05278d45ec | artovert  | active_member  | 2024-2025     | f         | t               |         5
 5fa319e5-cdcc-4ac5-b90a-54a78ef99efc | artovert  | core_member    | 2024-2025     | f         | t               |         5
 fe92388c-92c7-422b-b223-35966f52e805 | artovert  | core_member    | 2024-2025     | f         | t               |         5
 7bd30579-8548-4fa6-a451-d738af86c264 | artovert  | active_member  | 2024-2025     | f         | t               |         5
 a1129a33-cad2-49ea-aece-910e1b9fa9f0 | artovert  | member         | 2024-2025     | f         | t               |         5
 af5a33e1-43cb-4e32-b120-4c53bba19b1e | artovert  | member         | 2024-2025     | f         | t               |         5
 fe427f69-106a-4ebb-8415-c92965084246 | artovert  | active_member  | 2024-2025     | f         | t               |         5
 bfd29cec-50f9-4f35-8c6e-ed8470556fe7 | artovert  | member         | 2024-2025     | f         | t               |         5
 de385e06-4718-4f3d-8aa5-cefd7133b79f | artovert  | core_member    | 2024-2025     | f         | t               |         5
 3e6a0b6b-cdc8-4078-a7fc-0dbb57129ac6 | artovert  | active_member  | 2024-2025     | f         | t               |         5
 e624fa3f-bb9f-4da6-b569-c6a22904b389 | artovert  | outreach       | 2025-2026     | t         | f               |         5
 717269a6-7bb1-4d2f-826d-606f6e12e05a | artovert  | member         | 2024-2025     | f         | t               |         5
 3c0ceb61-764b-45a7-88de-4405d04a681d | artovert  | member         | 2024-2025     | f         | t               |         5
 5a3749b1-618a-4314-b6ab-74d534f568e2 | artovert  | event_incharge | 2024-2025     | t         | t               |         5
 466f3cb4-18bb-485e-827a-e5290cedd969 | artovert  | event_incharge | 2024-2025     | t         | t               |         5
 88cb2af1-1193-4283-8f5f-3b1513d41999 | artovert  | member         | 2024-2025     | f         | t               |         5
 5fd73003-f42f-4262-9e8d-a654843c7aba | artovert  | core_member    | 2024-2025     | f         | t               |         5
 96ed8413-d286-494c-9193-94c5df18c332 | artovert  | active_member  | 2024-2025     | f         | t               |         5
 7a7cf0db-2270-41d5-9eff-7ce114b2c9f7 | artovert  | active_member  | 2024-2025     | f         | t               |         5
 b494b968-3d04-434e-914c-c83a998df7d8 | artovert  | core_member    | 2024-2025     | f         | t               |         5
